America,[E5merikE],"n.<美>美国, 美洲(包括北美和南美洲)人付"
come in,[],"v.进来, 到达终点, 流行起来, 当选, (钱)到手"
come up for air,[],游上来吸取空气
common,[5kCmEn],"adj.共同的, 公共的, 公有的, 普通的, 庸俗的, 伪劣的//n.[复][总]平民, 公有, 普通, 共通"
concert,[5kCnsEt],"n.音乐会, 一致"
conductor,[kEn5dQktE],"n.领导者, 经理, 指挥管弦乐队、合唱队的, (市内有轨电车或公共汽车)售票员, <美>列车长"
cook,[kuk],"n.厨师//v.烹调, 煮, 伪造"
copy,[5kCpi],"n.副本, 拷贝, 摹仿, 一册//v.复印, 复制, 拷贝, 抄袭"
corner,[5kC:nE],"n.角落, (街道)拐角处, (遥远的)地区, 偏僻处, 困境, 绝路//vt.迫至一隅, 垄断, 使陷入绝境, 把...难住//vi.相交成角, 囤积(in)"
cough,[kC:f],n.咳嗽//v.咳嗽
crocodile,[5krCkEdail],"n.鳄鱼, 鳄鱼皮"
crossing,[5krCsiN],"v.横越//n.横越, 交叉口"
danger,[5deindVE],"n.危险, 危险物, 威胁"
dare,[dZE],"n.挑战//vi.敢, 胆敢//vt.敢冒, 不惧"
daytime,[5deitaim],"n.白天, 日间"
dear,[diE],"adj.昂贵的, 亲爱的//int.[表示惊讶, 怜悯等], Oh, ～!"
decide,[di5said],"v.决定, 判决"
deed,[di:d],"n.行为, 事实, 功绩, 实行, 契约//vt.立契转让(旧产等)i.惊讶, 怀疑"
dictionary,[5dikFEnEri],"n.字典, 词典"
die,[dai],"vi.死亡, 消逝, 平息, 渴望, 漠然, 熄灭//vt.死//n.骰子, 钢型, 硬模, 冲模"
dinner,[5dinE],"n.正餐, 宴会"
disappointed,[7disE`pCintid],adj.失望的
do a good deed,[],做一件好事
do some cooking,[],做饭(菜)
do wrong,[],v.作恶
dolphin,[5dClfin],n.海豚
downstairs,[daun5steEz],"adv.在楼下, 往楼下, 下楼"
during,[5djuEriN],"prep.在...的期间, 在...的时候"
east,[i:st],"n.东方, 东, 东部地区//adj.东方的, 从向东来的//adv.在东方, 向东方, 朝东方"
either,[5aiTE(r)7 C7:Q5:C7],"adj.任一的, (两方中的)每一方的//pron.任一, 随便任一个//conj.或者, 也"
end,[end],"n.末端, 尽头, 结束, 目标, 限度, 梢, 末端, 死亡//v.结束, 终结, 终止"
enjoy,[in5dVCi],"vt.享受...的乐趣, 欣赏, 喜爱//v.满意"
enjoy oneself,[],v.过得快乐
enough,[i5nQf],"adj.足够的, 充足的, 只够做...的//n.充足, 足够, 很多//adv.足够地, 充分地//int.够了!"
even,[5i:vEn],"adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的//adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当//vt.使平坦, 使相等//vi.变平, 相等//n.偶数, 偶校验"
evening,[5i:vniN],"n.傍晚, 晚间, 后期, (联欢性的)晚会"
ever,[5evE],"adv.曾经, 永远, 不断地, 在任何时候, 究竟"
ever since,[],adv.从那时到现在
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
explain,[iks5plein],"v.解释, 说明"
fact,[fAkt],"n.事实, 实际, 实情, 真相, (犯罪)行为, 论据"
fall,[fC:l],"n.秋天, 落下, 瀑布, 降低, 落差, 采伐量, 堕落, 下降//vi.倒下, 落下, 来临, 失守, 变成, 垮台, 下跌, 阵亡//vt.<美><英方>击倒, 砍倒(树木)//adj.秋天的"
famous,[5feimEs],"adj.著名的, 出名的, <口>极好的, 令人满意的"
farm,[fB:m],"n.农场, 农庄, 农田//vt.耕种//vi.种田, 务农, 经营农场, 从事畜牧"
farther,[5fB:TE],"adj.更远的, 进一步的//adv.更远地, 再往前地, 此外, far 的比较级"
feed,[fi:d],"n.饲养, 饲料, (动物或婴儿的)一餐//vt.喂养, 饲养, 放牧, 靠...为生//vi.吃东西, 流入"
feel,[fi:l],"vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为//vi.有知觉, (人)有某种感觉, 摸索, 同情//n.感觉, 觉得, 触摸"
fever,[5fi:vE],"n.发烧, 发热, 热病, 狂热, 高度兴奋//v.(使)发烧, (使)患热病, (使)狂热"
few,[fju:],"adj.很少的, 不多的, 少数的//n.[表示否定]很少数, 几乎没有"
field,[fi:ld],"n.原野, 旷野, 领域, (一块)田地, 牧场, 域, 战场, 运动场//vt.把(谷物等)暴晒于场上, 使上场//vi.担任场外队员//adj.田间的, 野生的, 野外的, 田赛的//扫描场"
figure,[5figE],"n.外形, 轮廓, 体形, 图形, 画像, 数字, 形状, 身份//vt.描绘, 塑造, 表示, 象征, 演算, 认为//vi.出现, 考虑, 出名, 扮演角色"
finally,[5fainEli],"adv.最后, 终于, 不可更改地, 决定性地"
find out,[],"v.找出, 发现, 查明(真相等), 认识到, 想出, 揭发"
food,[fu:d],"n.食物, 养料"
fool,[fu:l],"n.愚人, 白痴, 莽汉, 受骗者, 奶油拌水果//vt.愚弄, 欺骗, 浪费//vi.干傻事, 开玩笑, 游荡//adj.傻的"
foolish,[5fu:liF],"adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的"
foot,[fut],"n.足, 底部, 英尺, 音步(英诗), 步调, 步兵, 末尾//vt.走在...上, 支付, 给...换底, 结算//vi.步行, 跳舞, 总计"
game,[geim],"n.比赛, 游戏, 竞赛, [复]运动会, 玩耍, 比分, 比赛规则, 策略//vi.赌博//adj.勇敢的, 有胆量的, 关于野味的, 跛的"
gather,[5gATE],"n.集合, 聚集//vi.集合, 聚集, 渐增, 蹙眉, 化脓//vt.使聚集, 搜集, 积聚, 推断"
get into,[],"v.进入, 陷入, 穿上"
get off,[],"v.下来, 脱下, 出发, 被容忍, 动身, 开始"
get out,[],"v.出去, 离开, 逃脱, 泄露, 摆脱, 弄出来, 说出, 出版"
get to know,[],认识
give a concert,[],举行音乐会
give lessons to,[],给…上课
go ahead with,[],继续进行
go down,[],"v.下去, 下沉, 坠落, 下降, 平静下来, 被咽下, 被接受, 传下去"
go over,[],"v.(渡过...)转变, (对...进行)仔细检查, 润色, 复习"
go to college,[],上大学
grandfather,[5grAnd7fB:TE],"n.祖父, 始祖"
grandmother,[5grAnd7mQTE],n.祖母
grateful,[5greitful],"adj.感激的, 感谢的"
greedy,[5gri:di],"adj.贪吃的, 贪婪的, 渴望的"
ground,[graund],"n.地面, 土地, 战场, 场所, 范围//adj.土地的, 地面上的//vt.把...放在地上, 使搁浅, 打基础//vi.具有基础, 着陆, 搁浅//vbl.grind的过去式"
guest,[gest],"n.客人, 来宾, 旅客//vt.招待, 款待//vi.作客, 寄宿"
hand out,[],"v.把...拿出来, 分发, 施舍"
hang,[hAN],"n.悬挂的方式, （动作的）暂停, 中止//vt.悬挂, 附着, 装饰, 绞死, 踌躇, 使悬而未决, 垂下//vi.悬着, 垂下, 被绞死, 悬而不决"
happen,[5hApEn],"vi.发生, 碰巧, 偶然//v.发生, 恰巧, 偶然发现"
have a test,[],进行测验(考查，试验)
headache,[5hedeik],"n.头痛, 令人头痛之事"
headmaster,[hed5mB:stE(r)长; 男舍监],"n.英国中小学校长, 男舍监"
heart,[hB:t],"n.心, 心脏, 中心, 心地, 心情, 精神, 宝贝儿, 感情//vt.把...放在中心"
here and there,[],"各处, 到处"
hit,[hit],"n.打击, 打, 碰撞, 讽刺, (演出等)成功//vt.打, 打击, 碰撞, 击中, 袭击, 偶然发现, 伤...的感情, 找到//vi.打, 打中, 打击, 碰撞, 偶然碰上"
hole,[hEul],"n.洞, 孔, 突破口//v.凿洞"
however,[hau5evE],"adv.无论如何, 可是, 仍然, 究竟//conj.不管用何种方法, 然而, 可是"
husband,[5hQzbEnd],n.丈夫
ice,[ais],"n.冰冻食品//vt.冰冻, 覆以冰//vi.结冰//abbr.[军] Intenal Combustion Engine, 内燃机"
iceberg,[5aisbEg],"n.冰山, 冷冰冰的人"
idea,[ai5diE],"n.想法, 念头, 意见, 主意, 思想, 观念, 概念"
impossible,[im5pCsEbl],"adj.不可能的, 不会发生的, 难以忍受的"
in fact,[],adv.事实上
in space,[],"片刻就, 一会儿就"
in surprise,[],惊奇地
in the daytime,[],在白天，在白昼
in the middle of,[],在...的中间
inch,[intF],n.英寸(=1\12英尺)1
inside,[5in5said],"n.里面, 内部, 内脏, 内情//adj.内部的, 秘密的, 于室内工作的//adv.在里面//prep.在...之内"
instead,[in5sted],"adv.代替, 改为, 抵作, 更换"
interested,[5intristid],"adj.感兴趣的, 有成见的, 有权益的"
invite,[in5vait],"vt.邀请, 引起//n.邀请"
join,[dVCin],"vi.参加, 结合, 加入//vt.连接, 结合, 参加, 加入//n.连接, 结合, 接合点//[计] 用子目录名取代驱动器符"
join the army,[],参军
joke,[dVEuk],"n.笑话, 玩笑//v.(和...)开玩笑"
jump off,[],v.开始
just now,[],adv.刚刚
keep back,[],"v.落在后面, 阻止, 隐瞒, 留下"
kick,[kik],v.踢//n.踢
kick...out,[],把…踢出去
kind,[kaind],"n.种类, 性质//adj.仁慈的, 和蔼的, 亲切的, 友爱的"
knock,[nCk],"v.敲, 敲打, 敲击, (使)碰撞//n.敲, 击, 敲打"
knock at,[],敲(门，窗等)
language,[5lANgwidV],"n.语言, 语言文学, 术语, 语言表达能力, (运用语言的)方式、能力、风格, [自]（机器）代码"
league,[li:g],"n.同盟, 联盟, 盟约, 联合会, 社团//v.组联盟, (使)加盟"
lie,[lai],"vi.躺, 平放, 展现, 展开, 位于//v.说谎, 躺//n.谎话, 谎言"
lie down,[],v.躺下
life,[laif],"n.生命, 生活, 一生, 寿命, 生命力, 传记"
lifeboat,[5laifbEut],n.救生艇
live with,[],"v.寄宿在...家,与...同居,<口>承认, 忍受(不愉快的事)叩"
living,[5liviN],"n.生活, 生计, 生存空间, 居住面积//adj.活的, 起作用的, 逼真的, 现存的"
lose,[lu:z],"vt.遗失, 浪费, 错过, 输去, 使失去, 使迷路, 使沉溺于//vi.受损失, 失败"
make a living,[],谋生
make friends,[],交朋友
make sounds,[],发出声音
man-made,[],"adj.人造的, 合成的, 人为的"
marry,[5mAri],"vt.娶, 嫁, 和...结婚"
master,[5mB:stE],"n.主人, 雇主, (男)教师, 熟练技工, 师傅, 大师, 硕士, <称呼>少爷//adj.主人的, 熟练的, 高明的, 主要的//vt.征服, 控制, 精通"
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
maybe,[5meibi],"adv.大概, 或许//n.疑虑"
meal,[mi:l],"n.一餐, 一顿饭, 膳食, (谷类的)粗粉//vi.进餐"
mean,[mi:n; min],"adj.低劣的, 卑鄙的, 普通的, 吝啬的, 简陋的, 平均的, 惭愧的, 不舒服的//vt.意谓, 想要, 预定//vi.用意, 有意义//n.平均数, 中间, 中庸"
medicine,[5medsin; -disin],"n.药, 医学, 内科学, 内服药//vt.给...用药"
meeting-room,[],n.会议室
member,[5membE],"n.成员, 会员, 议员, (人或动, 植物的)一部分, [语]子句, 成分, [逻]推论的命题"
metre,[],"n.米, 公尺"
million,[5miljEn],"num.百万, 百万个//n.无数"
millions of,[],成百万的；许许多多的
mind,[maind],"n.头脑, 智力, 精神, 意见, 情绪//vi.介意, 照顾, 留心//vt.注意, 留意, 专心于, 照看, 介意"
move over,[],"挪开,让位"
musician,[mju:5ziFEn],n.音乐家
neck,[nek],"n.脖子, 颈, 颈壮物"
neighbour,[5neibE],"n.邻居(美作：neighbor)ǖ? 吝啬的, 简陋的, 平均的, 惭愧的, 不舒"
never,[5nevE],"adv.决不, 从未"
north,[nC:W],"n.北, 北方, 北部//adj.北, 北方的//adv.在北方, 向北方"
not only...but also...,[],不但…而且…
note,[nEut],"n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符//vt.注意, 记录, 笔记"
off,[C:f; Cf],"adj.远的, 空闲的, 不工作的//adv.离开, 在远方, 离去, 分离, 中断, 完成//prep.从...离开, 脱离"
on a farm,[],在农场
on one's way to,[],往…去的路上
on time,[],adv.准时
on watch,[],值班
onto,[5Cntu],prep.在...之上
open,[5EupEn],"n.公开, 户外, 空旷//adj.开着的, 敞开的, (车等)无篷的, 开阔的, 营业着的, 公开的, 坦率的, 未决定的//vt.打开, 公开, 开放//vi.展开, 开始, 展现"
or so,[],大约
outside,[5aut5said],"n.外面, 外表, 外界//adj.外面的, 外表的, 外界的//adv.在外面, 外表, 出界//prep.在...外"
over,[5EuvE],"adv.结束, 越过, 从头到尾//prep.在...之上, 越过//adj.上面的//vt.额外的东西, 越过//n.额外的东西"
party,[5pB:ti],"n.党, 政党, 随行人员, [律]当事人, 社交会"
pass by,[],"v.经过, 掠过"
person,[5pE:sn],"n.人, 身体, 容貌, [语法]人称"
photo,[5fEutEu],n.照片
pianist,[5piEnist; 5pjAnist],"n.钢琴家, 钢琴演奏家"
piano,[pi5B:nEu; 5pjB:-],n.钢琴
pick,[pik],"n.精选, 掘, 鹤嘴锄//vt.摘, 掘, 凿, 挑选, 挖, 挑剔//vi.摘, 掘, 凿, 挖, 挑选//v.拾取"
pick up,[],"v.掘地, 捡起, 获得, 使恢复精神, 加快, 看到, 随便地认识, 加速"
piece,[pi:s],"n.块, 件, 片, 篇, 张, 条, 硬币//vt.接合, 修补, 凑合"
place,[pleis],"n.地方, 地点, 位置, 职位, 处境, 住所, 地位//vt.放置, 寄予, 任命//vi.名次列前"
planet,[5plAnit],n.[天]行星
play,[plei],"n.游戏, 比赛, 运动, 赌博, 剧本//v.玩, 扮演, 播放, 进行比赛//v.播放"
pleasant,[5plezEnt],"adj.令人愉快的, 舒适的"
pleased,[pli:zd],"adj.高兴的, 满足的"
polite,[pE5lait],"adj.有礼貌的, 客气的, 有教养的, 文雅的"
pool,[pu:l],"n.池, 撞球, 联营, 石油层//vt.合伙经营, 共享, 共有, 集中(钱、力量等), 采掘, 汇聚成//vi.汇合成塘, 郁积, 联营"
poor,[puE],"adj.贫穷的, 可怜的, 乏味的, 卑鄙的"
population,[7pCpju5leiFEn],n.人口
post,[pEust],"n.柱, 邮件, 岗位, 职位, 邮政//vt.张贴, 揭示, 邮递, 布置//vi.快速旅行//adv.加速地//abbr.[军] Passive Optical Seeker Technique, 被动光学自导的导弹技术"
poster,[5pEustE],"n.海报, 招贴, (布告, 标语, 海报等的)张贴者"
prepare,[pri5pZE],"v.准备, 预备, 有能力而且愿意"
programme,[5prEugrAm],"n.v.=program 程序, 编程"
pupil,[5pju:pl; 5pju:pil],"n.学生, 小学生, 瞳孔"
push...up,[],把…向上推
put in,[],"v.放进, 提出, 提交, 插入, 进入, 使就职, 种植, 进港"
quick,[kwik],"adj.快的, 迅速的, 敏捷的, 急剧的, 活泼的//adv.快//n.活人，生物, 要点, 本质, 核心, 感觉敏锐的部位"
quiet,[5kwaiEt],"adj.静止的, 宁静的, 从容的//n.安静, 闲适//vi.平静下来//vt.使平静, 使安心, 减轻(疑虑、恐惧等)?整枝//vi.锻炼"
quietly,[5kwaiEtli],"adv.平静地, 静静地, 寂静地"
quilt,[kwilt],"n.棉被//vt.制成棉被, 摘录，编辑//vi.缝被子"
quite a few,[],adj.相当多的
rail,[reil],"n.横杆, 围栏, 扶手, 铁轨//vt.以横木围栏, 铺铁轨//vi.责骂, 抱怨"
reading-room,[],n.阅览室
real,[5ri:El],"adj.真的, 真实的, 不动产的"
really,[5riEli],"adv.真正地, 实在地, (表语气)真的吗?"
receive,[ri5si:v],"vt.收到, 接到, 接收, 遭到, 受到, 接待, 接见"
report,[ri5pC:t],"n.报告, 传说, 谣言, 声誉, 名声, 爆炸声//v.报导, 汇报, 报到, 告发"
research,[ri5sE:tF],"n.研究, 调查//vi.研究, 调查"
rich,[ritF],"adj.富的, 有钱的, 富有的, 富饶的, 肥沃的, 充足的, 丰富的"
ring,[riN],"n.环, 环形物, 环状, 铃声, 声调, 打电话, 拳击场//vt.包围, 套住, 按铃, 敲钟//vi.成环形, 响, 鸣, 敲钟, 回响, 按铃"
road,[rEud],"n.路, 道路, 公路, 大道"
room,[ru:m; rum],"n.房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地"
sad,[sAd],"adj.忧愁的, 悲哀的"
same,[seim],"adj.同一的, 相同的, 无变化的, 上述的, 所谓//pron.同样的事物//adv.同样地"
satellite,[5sAtElait],n.人造卫星
save,[seiv],"vt.解救, 保存, 保全, 保留, 节省, 储蓄//vi.挽救, 节省, 救球//prep.除...之外//n.救球"
send,[send],"vt.送, 寄, 发送, 派遣, 打发"
send up,[],"v.发出, 射出, 长出, 呈保, 使上升"
serious,[5siEriEs],"adj.严肃的, 认真的, 严重的"
servant,[5sE:vEnt],n.仆人
set,[set],"v.放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整//n.一套, 一副, 一批, 接受机, 装置, 趋势, 布景//adj.固定的, 规定的, 坚决的, 固执的, 事先做好的"
set off,[],"v.出发, 动身, 使爆炸, 引起, 使爆发, 抵销, 分开, 衬托"
set up,[],"v.设立, 竖立, 架起, 升起, 装配, 创(纪录), 提出, 开业"
several,[5sevErEl],"adj.几个, 个别的, 单独的//pron.几个"
sew,[sju:],"v.缝制, 缝纫, 缝合"
shall,[FAl; FEl; Fl],"v.aux.将, 会"
shortcoming,[5FC:tkQmiN],"n.缺点, 短处"
shy,[Fai],"adj.怕羞的, 畏缩的, 害羞的"
sick,[sik],"n.病人//adj.不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的//vt.呕吐, 追击, 使狗去咬"
side,[said],"n.边, 旁边, 面, 侧面, 胁, 一方, (一个)方面, 摆架子//adj.旁边的, 侧面的, 副的, 枝节的//vi.站在同一边"
since,[sins],"adv.以后, 后来, 以前//prep.自从, 自...以来//conj.自...以后, 自...以来, 因为, 既然"
singer,[5sindVE],n.歌手
sit up,[],"v.坐起, 端坐, 熬夜"
sitting-room,[5sitiNrum],n.起居室
sky,[skai],"n.天, 天空"
so...that...,[],如此…以致…
soldier,[5sEuldVE],"n.士兵, 军人"
someone,[5sQmwQn],"pron.有人, 某人"
sometime,[5sQmtaim],"adv.在某一时候, 曾经, 有一天"
song,[sCN],"n.歌, 歌曲"
sound,[saund],"n.声音, 语音, 噪音, 吵闹, 海峡, 听力范围, 探条//adj.健全的, 可靠的, 合理的, 有效彻底的, 健康的//adv.彻底地, 充分地//vi.发出声音, 回响, 测深, 听起来//vt.使发声, 宣告, 听诊, 测...深, 试探"
south,[sauW],"n.南部, 南//adj.南的, 南方的//adv.在南方, 向南方"
space,[speis],"n.空间, 间隔, 距离, 空地, 余地, 一段时间//vt.留间隔, 隔开"
stamp,[stAmp],"n.邮票, 印花, 印, 图章, 标志, 印记, 跺脚, 顿足//v.跺(脚), 顿(足), 压印"
star,[stB:],"n.星, 恒星, 明星, 名角"
stone,[stEun],"n.石, 石头, 宝石"
strange,[streindV],"adj.陌生的, 生疏的, 前所未知的, 奇怪的, 奇异的, 不惯的"
suddenly,[5sQdEnli],adv.突然地
surprise,[sE5praiz],"n.惊奇, 诧异, 惊人之事, 奇袭//vt.使惊奇, 奇袭//adj.令人惊讶的"
swimming pool,[],游泳池
tail,[teil],"n.尾部, 尾巴, 尾状物, 后部, (常用复数)(硬币)反面辫子, 踪迹, 排的长队, 限定继承权//adj.在后面的, 从后面而来的, 限定继承的, 尾部的, 后面来的, 后部的//vt.为...装尾, 附于其后, 尾随, 跟踪, 使搭牢, 监视, 使架住//vi.成为散乱的行列, 跟踪, 嵌入, 船尾搁浅"
take one's place,[],取代...人
take photos,[],照像，拍照
talk about,[],"谈论,议论,讨论"
tear,[tiE],"n.破处, 破缝, 泪滴, 眼泪, 扯, 飞奔, 激怒//vi.流泪, 撕破, 猛冲, 飞奔, 被撕破//vt.扯, 撕, 撕破, 戳破, 拉掉, 折磨, 使分裂, 撕掉"
temperature,[5tempritFE(r)痛之事],n.温度
tent,[tent],n.帐篷
terrible,[5terEbl],"adj.很糟的, 极坏的, 可怕的, 骇人的"
test,[test],"n.测试, 试验, 检验//v.测试, 试验, 检验"
thankful,[5WANkfEl],"adj.感谢的, 感激的"
the end of the road,[],路之终点
the matter,[],"有问题, 有毛病"
these days,[],"n.现在, 目前"
thousands of,[],数千的
throw...to...,[],把…扔给…
too...to,[],太...以至于不能
too...to...,[],太…而不能…
town,[taun],"n.市镇, 城镇"
train,[trein],"n.火车, 列车, 行列, 后果, 顺序, 长队, 长袍(裙)拖地的部分, 导火线//vt.训练, 培养, 瞄准, (园艺)整枝//vi.锻炼"
trainer,[5treinE],"n.训练者, 驯服者, 驯马师, 软运动鞋"
travel,[5trAvl],"v.旅行, 传播//vi.行进, 传播//n.旅行"
trip,[trip],"n.(短途)旅行, 绊倒, 摔倒, 失足, 往返, 差错, 支吾, 旅程//vt.使跌倒, 使犯错, 使失败, 挑剔//vi.轻快地走, 摔倒, 绊倒, 失足, 结巴, 远足, 犯错, 旅行"
trouble,[5trQbl],"n.烦恼, 麻烦, 动乱, 纠纷, 疾病, 故障, 问题//vt.(使)烦恼, 麻烦, 打扰, 麻烦自己, 费神, 费心"
true,[tru:],"adj.真实的, 真正的, 忠实的, 忠诚的, 正确的"
truly,[5tru:li],"adv.真实地, 不假"
turn in,[],"v.拐入, 上床睡觉, 上缴, 出卖, 把...向内折, 告发, 作出, 取得"
twice,[twais],"adv.两次, 两倍"
uncle,[5QNkl],"n.伯父, 叔父, 姨丈, 援助者"
unfair,[5Qn5fZE],adj.不公平的
universe,[5ju:nivE:s],"n.宇宙, 世界, 万物, 领域"
unknown,[5Qn5nEun],"adj.不知道的, 未知的//n.不知名的"
village,[5vilidV],"n.乡村, 村庄//adj.村庄的"
voice,[vCis],"n.声音, 嗓音, 发音能力, 意见, 发言权, [语法]语态//vt.表达, 吐露"
wallet,[5wClit],"n.皮夹, 钱夹, 钓鱼带"
warm,[wC:m],"adj.暖和的, 暖的, 温暖的, 色情的, 激烈的, 热烈的, 多情的, 兴奋的//adv.(常用以构成复合词)暖和地//vt.使温暖, 弄热, 使兴奋, 使热烈//vi.变暖和, 变温暖, 激动, 同情, 爱好//n.暖, 保暖物"
warm...up,[],使…暖和
