Albert Einstein,[5AlbEt 5ainstain],阿尔伯特·爱因斯坦
establish,[is5tAbliF],"vt.建立, 设立, 安置, 使定居, 使人民接受, 确定//v.建立"
ever,[5evE],"adv.曾经, 永远, 不断地, 在任何时候, 究竟"
everywhere,[5evrihwZE],"adv.各处, 到处"
exact,[ig5zAkt],"adj.精确的, 准确的, 原样的, 精密的, 严格//vt.强求, 急需, 要求"
example,[ig5zB:mpl; ig5zAm-],"n.例子, 实例, 例题, 范例, 榜样, 鉴戒, 实例"
excellent,[5eksElEnt],"adj.卓越的, 极好的"
except for,[],adv.除...以外
excited,[ik5saitid],兴奋的
exhibition,[7eksi5biFEn],"n.表现, 展览会, 展览品, 显示"
fair,[fZE],"adj.美丽的, 女性的, (肤色)白皙的, (头发)金黄的, 干净的, 公平的, (天气)晴朗的//adv.公平地, 公正地, 直接地, 清楚地//n.美好的事物, 美人, 展览会, 市集//vi.转晴"
faraway,[5fB:rEwei],"adj.遥远的, 久远的, 恍惚的, 出神的, 朦胧的"
fascination,[fAsi5neiF(E)n],"n.魔力, 入迷, 魅力, 迷恋, 强烈爱好"
fearless,[5fiElis],"adj.不怕的, 大胆的, 勇敢的, 无畏的"
field mouse,[],"n.野鼠, 田鼠"
fighter,[5faitE],"n.斗士, 战士, 斗争者, 奋斗者, 好战者"
fill,[fil],"vt.装满, 注满, 充满, 填充, 弥漫, 供应, 供给, 满足//vi.充满//n.满足, 饱, 充分, 填方//v.填充"
fill...with...,[],把…装满…
finger,[5fiNgE],"n.手指(尤指大拇指以外的手指), 指状物, 指针//v.用手指拨弄, 伸出"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
for example,[],adv.例如
forgive,[fE5giv],"vt.原谅, 饶恕, 宽免(某人)之债务"
form,[fC:m],"n.形状, 形态, 外形, 表格, 形式//v.形成, 构成, 排列, (使)组成"
found,[faund],"v.建立, 创立, 创办, 使有根据, 铸造, 熔制"
freeze,[fri:z],"v.(使)结冰, (使)冷冻, 冻结"
freezing,[5fri:ziN],"adj.冰冻的, 严寒的, 冷冻用的"
funny,[5fQni],"adj.有趣的, 好笑的, 滑稽的, 奇异的, 古怪的//n.滑稽人物"
gas,[gAs],"n.气体, 煤气, 毒气, 汽油, [矿]瓦斯//abbr.[军] Gunners Auxiliary-Sight, 炮长辅助瞄准镜"
gentle,[5dVentl],"adj.温和的, 文雅的"
gentleman,[5dVentlmEn],"n.阁下, 先生, 有身分的人, 绅士,男厕所, 男盥洗室"
get in one's way,[],"挡路, 妨碍"
get rid of,[],"v.摆脱, 除去"
give up,[],"v.放弃(念头、希望等), 停止, 抛弃, 认输, 把...送交, <口>对...绝望(=give up) Belarus, 白俄罗斯"
go in for,[],"v.参加, 追求, 从事, 赞成"
go on strike,[],实行罢工
go through,[],"v.经历, 经受, 仔细检查, 用完, 被通过, 参加, 搜查, 履行"
golden,[5gEuldEn],"adj.金色的, 金黄色的, 贵重的, 极好的, 黄金的"
good manners,[],很有礼貌
good-looking,[],漂亮的
government,[5gQvEnmEnt],"n.政府, <英>内阁, 政治, 政体"
grace,[greis],"n.优美, 雅致, 优雅"
grain,[grein],"n.谷物, 谷类, 谷粒, 细粒, 颗粒, 粮食"
hand in,[],v.交上
hand out,[],"v.把...拿出来, 分发, 施舍"
handkerchief,[5hANkEtFi:f],n.手帕
hang up,[],"v.挂断, 拖延, 把...挂起来"
hate,[heit],"vt.憎恨, 恨, 不愿, 不喜欢//n.憎恶, 憎恨//v.憎恨, 讨厌, 不愿"
hawk,[hC:k],"n.鹰, 掠夺他人的人, 鹰派成员//vi.放鹰, 像鹰一般地袭击, 清嗓, 咳嗽//vt.捕捉, 咳出, 兜售, (沿街)叫卖, 散播"
healthy,[5helWi],"adj.健康的, 健壮的, 有益于健康的"
heat,[hi:t],"n.热, 热度, 热烈, 高潮, 压力//vi.加热, 激昂, 发热, 发怒//vt.把...加热, 使激动//abbr.[军] High Explosive-Anti-Tank, 破甲弹"
helpful,[5helpful],"adj.有帮助的, 有用的, 有益的"
hit on,[],偶然发现
hold up,[],"v.举起, 支撑, 继续下去, 阻挡, 拦截"
horrible,[5hCrEbl],"adj.可怕的, 恐怖的, 讨厌的"
housework,[5hauswE:k],"n.家务, 劳动, 家务事"
however,[hau5evE],"adv.无论如何, 可是, 仍然, 究竟//conj.不管用何种方法, 然而, 可是"
human,[5hju:mEn],"n.人, 人类//adj.人的, 人类的, 人性的, 有同情心的"
hunt,[hQnt],"v.打猎, 猎取, 搜索, 搜寻, 猎获//n.打猎, 猎取, 搜索, 搜寻, 狩猎"
hunting,[5hQntiN],"n.打猎, 搜索, 追逐"
illness,[5ilnis],"n.疾病, 生病"
in line,[],"adv.成一直线, 一致, 协调, 有秩序"
in order to,[],为了...
in public,[],"adv.当众, 公开地, 公然地"
in the end,[],"adv.最后, 终于"
in trouble,[],"adv.处于不幸中, 在监禁中"
information,[7infE5meiFEn],"n.通知, 报告, 消息, 情报, 知识, 见闻, 资料, 起诉//信息"
instrument,[5instrumEnt],"n.工具, 手段, 器械, 器具, 手段"
international,[7intE(:)5nAFEnEl],"adj.国际的, 世界的//n.国际性组织, 国际比赛"
interrupt,[7intE5rQpt],"vt.打断(正在说话或动作的人), 中断, 妨碍, 插嘴//vi.打断(别人的讲话或行动)//n.(发给电脑的)中断信号"
invent,[in5vent],"vt.发明, 创造//v.发明"
invention,[in5venFEn],"n.发明, 创造"
jealous,[5dVelEs],"adj.妒忌的, 猜疑的, 警惕的, 嫉妒的"
keep silent,[],保持沉默
keep up,[],"v.不低落, 维持, 继续"
kerosene,[5kerEsi:n],"n.煤油, 火油"
key,[ki:],"n.钥匙, 关键, 解答, (打字机等的)键, 调子, 对译本, (开钟表、发条的)栓, 要害//vt.调节...的音调, 锁上, 插上栓, 提供线索//vi.使用钥匙//n.[乐]键, 调, 基调"
kind,[kaind],"n.种类, 性质//adj.仁慈的, 和蔼的, 亲切的, 友爱的"
knock,[nCk],"v.敲, 敲打, 敲击, (使)碰撞//n.敲, 击, 敲打"
knock into someone,[],撞在某人身上
knowledge,[5nClidV],"n.知识, 学问, 认识, 知道, <古>学科"
land,[lAnd],"n.陆地, (书面语)国家、国土, 地带, [复数]地产, 田产//vi.靠岸, 登陆, 登岸, 到达//vt.使上岸, 使登陆, 使到达, 使处于"
later,[5leitE],"adj.更迟的,更后的//adv.稍后,随后"
lazy,[5leizi],"adj.懒惰的, 懒散的"
lead,[li:d],"vt.领导, 引导, 致使//vi.领导, (道路等)通向, 导致, 用水砣测深//n.领导, 领先, 导线, 铅, (自船上测海水深度的)铅陲, 石墨, 铅笔芯"
lesson,[5lesn],"n.功课, (一节)课, 课程, 教训"
liberate,[5libEreit],"v.解放, 释放"
liberation,[7libE5reiFEn],"n.释放, 解放"
line,[lain],"n.绳, 索, 线路, 航线, 诗句//vt.排成一行, 顺...排列, 划线于, 使有线条, 使起皱纹//vi.排队"
lion,[5laiEn],"n.狮子, (剽悍的人)社交场合的名流"
liquid,[5likwid],"n.液体, 流体, 流音//adj.液体的, 清澈的, 透明的, 明亮的, 流动的, 易变的, (财务)易变卖的"
lively,[5laivli],"adj.活泼的, 活跃的, 栩栩如生的, 真实的"
lock,[lCk],"n.锁//v.锁, 锁上, 锁住"
lose one's temper,[],v.发脾气
mail,[meil],"n.邮件, 邮政, 盔甲//vt.邮寄, 给...穿盔甲"
mail coach,[],n.邮件马车
mailman,[`meilmAn],n.邮差
manager,[5mAnidVE],"n.经理, 管理人员, 管理器"
manner,[5mAnE],"n.礼貌, 风格, 方式, 样式, 习惯"
manners,[],n.礼貌
marriage,[5mAridV],"n.结婚, 婚姻, 婚姻生活, 密切结合, 合并"
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
memory,[5memEri],"n.记忆, 记忆力, 回忆, 存储(器), 存储器//存储器,内存"
might,[mait],"v.(past tense, past participle of may//see may)//n.力量, 威力, 权力, 能, 可能//aux.可以"
mix,[miks],"v.使混和, 混淆, 混合//n.混合"
mixture,[5mikstFE],"n.混合, 混合物, 混合剂"
money,[5mQni],"n.货币, 钱, 金钱"
more and more,[],adv.越来越多
mountain lion,[],n.[动] (=cougar)美洲狮
mourn,[mC:n],"v.哀悼, 忧伤, 服丧"
mouse,[maus],"n.鼠, 耗子//v.搜寻"
murder,[5mE:dE],"n.谋杀, 凶杀//vt.谋杀, 凶杀//v.谋杀"
murderer,[`mE:dErE(r)手],"n.杀人犯, 凶手"
musical,[5mju:zikEl],"adj.音乐的, 悦耳的//音乐喜剧"
musical instrument,[],乐器
nature,[5neitFE],"n.自然, 自然界, 大自然, 自然状态, 本性, 天性, 种类"
necessary,[5nesisEri],"n.必需品//adj.必要的, 必需的, 必然的"
nod,[nCd],"v.点头, 点...// n.点头"
none,[nQn],"adv.决不, 毫不//pron.一个也没有, 毫无"
not...at all,[],一点也不
number,[5nQmbE],"n.数, 数字, 数量, 号码, 算术, 诗, 韵律//v.遍号码, 共计..., 计入, 计算, 算入"
official,[E5fiFEl],"n.官员, 公务员//adj.职务上的, 公务的, 官方的, 正式的"
oil,[Cil],"n.油, 石油, 油类//vt.给(机器等)加油, 上油, 涂油"
on the other hand,[],adv.另一方面
one another,[],"n.彼此, 相互"
opening,[5EupniN],"n.开, 开放, 开始, 口子, 穴, 通路, 空缺, 机会//adj.开始的, 开幕的"
or,[C:;E],"conj.或, 或者, 还是//abbr.[军] Operational Requirement, 作战需求//abbr.[军] Operations Research, 运筹学研究"
order,[5C:dE],"n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单//vt.命令, 定购, 定制"
ordinary,[5C:dinEri],"adj.平常的, 普通的, 平凡的//n.[律] 推事, <英>[宗]罪犯的忏悔牧师"
ordinary-looking,[],adj.相貌平常的
organize,[5C:gEnaiz],"vt.组织, 使有机化, 给予生机//vi.组织起来"
outside,[5aut5said],"n.外面, 外表, 外界//adj.外面的, 外表的, 外界的//adv.在外面, 外表, 出界//prep.在...外"
paint,[peint],"n.油漆, 颜料, 涂料//v.油漆, (用颜料等)画, 绘, 描绘, 逼真地描述"
paper,[5peipE],"n.纸, 报纸, 文件, 证件, 论文, 考卷//vt.用纸糊(墙壁等), 用纸包装//adj.纸的, 象纸的, 纸上的"
penny,[5peni],"n.便士, <美> 分"
penny black,[],n. 黑便士邮票（1840年发行的面值1便士邮票）
person,[5pE:sn],"n.人, 身体, 容貌, [语法]人称"
physical,[5fizikEl],"adj.身体的, 物质的, 自然的, 物理的//n.体格检查"
pile,[pail],"n.堆, 大堆, 高大建筑, <美口>大量钱财, <美>[核]反应堆, [电]电池组//vi.堆起, 堆积, 积累, 挤//vt.堆于, 累积, 堆叠, 打桩于, 用桩支撑"
plan,[plAn],"n.计划, 设计图, 平面图//vt.计划, 设计"
plant,[plB:nt],"n.植物, 庄稼, 工厂, 车间, 设备//vt.种植, 栽培, 培养, 安置//vi.种植"
plastic,[5plAstik; plB:stik],"n.塑胶, 可塑体, 塑料制品, 整形//adj.塑胶的, 塑造的, 有可塑性的, 造形的, (外科)整形的"
play a joke,[],开玩笑
player,[5pleiE],"n.做游戏的人, 比赛者, 演员, 演奏者, 表演者"
popular,[5pCpjulE],"adj.通俗的, 流行的, 受欢迎的"
pork,[pC:k],"n.猪肉, <美俚><粗>与(女子)性交"
postage,[5pEustidV],n.邮资
powerful,[5pauEful],"adj.强大的, 有力的"
practice,[5prAktis],"n.实行, 实践, 实际, 惯例, 习惯, 练习, 实习, 开业"
practise,[5prAktis],"v.练习, 实习, 实践, 实行, 操持(专业等), 竭力想, 利用(某人之轻信等), 实施"
praise,[preiz],"vt.赞扬, 歌颂, 称赞//n.赞扬, 赞美的话, 赞美, 荣耀, 称赞"
pride,[praid],"n.自豪, 自尊(心), 骄傲, 傲慢//vt.使自豪, 使自夸"
probably,[5prCbEb(E)li],"adv.大概, 或许"
professor,[prE5fesE],"n.教授, 公开表示信仰的人"
programme,[5prEugrAm],"n.v.=program 程序, 编程"
protect,[prE5tekt],vt.保护
proud,[praud],"adj.自豪的, 得意的, 骄傲的, 妄自尊大的"
public,[5pQblik],"n.公众, (特定的)人群, 公共场所//adj.公众的, 公共的, 公立的, 公用的"
publish,[5pQbliF],"v.出版, 刊印//vt.公布, 发表"
publishing house,[],"出版社, 出版公司"
push,[puF],"n.推, 推动, 奋发, 干劲, 进取心, 攻击//vt.推, 推动, 推行, 逼迫, 增加//vi.推, 推进, 增加, 努力争取"
put into,[],"v.使进入, 把...翻译成, 在...上种植"
put on,[],"v.穿上, 把...放在上, 装出, 假装, 增加, 欺骗, 添上, 使靠...维持生命"
put out,[],"v.放出, 伸出, 生产, 消除, 打扰, 麻烦, 作出努力, 使退场"
put up,[],"v.举起, 抬起, 进行, 提供, 表现出, 建造, 提名, 推举"
rabbit,[5rAbit],"n.兔, 野兔"
raise,[reiz],"n.上升, 高地, 提出//vt.升起, 唤起, 提高, 使出现, 解除, 饲养, 筹集, 使复活"
rat,[rAt],n.老鼠
rather,[5rB:TE],"adv.宁愿, 宁可, 更正确, 更合适, 有点, 相当"
reason,[5ri:zn],"n.理由, 原因, 动机, 理智, 前提//vt.说服, 推论, 辩论//vi.推论, 劝说, 思考"
recorder,[ri5kC:dE],"n.记录员, 录音[像]机//n.[计] 宏录制器, 记录器"
relation,[ri5leiFEn],"n.关系, 联系, 叙述, 故事, 亲戚"
remove,[ri5mu:v],"vt.移动, 开除, 移交//vi.迁移, 搬家//n.移动, 距离, 班级, 升级"
republic,[ri5pQblik],"n.共和国, 共和政体//adj.共和的"
require,[ri5kwaiE],"vt.需要, 要求, 命令"
rid,[rid],"vt.使摆脱, 使去掉"
robot,[5rEubCt; 5rCbEt],"n.机器人, 遥控设备, 自动机械, 机械般工作的人"
rubbish,[5rQbiF],"n.垃圾, 废物, 废话"
rude,[ru:d],"adj.粗鲁的, 无礼的, 猛烈的, 残暴的, 粗鲁无礼的"
rule,[ru:l],"n.规则, 惯例, 统治, 章程, 破折号, 准则, 标准, 控制//vt.规定, 统治, 支配, 裁决//vi.统治, 管辖, 裁定//n.规则, 水线"
sad,[sAd],"adj.忧愁的, 悲哀的"
sadly,[5sAdli],"adv.悲痛地, 悲哀地"
sale,[seil],"n.出售, 卖出, 贱卖, 廉价出售, 销路, 销售额"
save,[seiv],"vt.解救, 保存, 保全, 保留, 节省, 储蓄//vi.挽救, 节省, 救球//prep.除...之外//n.救球"
scarab,[5skArEb],"n.[昆]圣甲虫,圣甲虫形宝石(雕刻成甲虫形状的宝石)谑? 救球//prep."
screen,[skri:n],"n.屏, 银幕, 筛子, 掩蔽物, 屏风//vt.掩蔽, 包庇, 放映, 拍摄, 筛//vi.拍电影"
secret,[5si:krit],"n.秘密, 秘诀, 奥秘//adj.秘密的, 隐秘的, 幽静的、"
sell out,[],"v.卖完, 出卖, 背叛"
send out,[],"v.发送, 派遣, 放出"
sentence,[5sentEns],"n.句子, 判决, 宣判, 文句//vt.宜判, 判决"
shoot,[Fu:t],"n.射击, 发射, 摄影, 急流//vt.射击, 投射, 伸出, 拍摄, 用完, 挥出, 给...注射, 使爆炸//vi.射出, 射击, 发出, 发芽, 射门, 拍电影"
show slides,[],放映幻灯片
show...on TV,[],在电视中放映
sign,[sain],"n.标记, 符号, 记号, 征兆, 迹象, 征候//v.签名(于), 署名(于)～, 签署"
silent,[5sailEnt],"adj.寂静的, 沉默的, 无声的, 无记载的"
silk,[silk],n.丝绸
simple,[5simpl],"adj.简单的, 简易的, 朴素的, 简朴的, 天真的, 率直的, 无经验的, 易受骗的"
ski,[ski:; Fi:],n.滑雪橇//vi.滑雪
slide,[slaid],"v.(使)滑动, (使)滑行//n.滑, 滑动, 幻灯片"
smell,[smel],"n.气味, 臭味, 嗅觉//v.嗅, 闻到, 散发(...的)气味, 有(...的)气味"
sneeze,[sni:z],n.喷嚏//vi.打喷嚏
so that,[],"conj.所以//所以, 因要"
solid,[5sClid],"n.固体, 立体//adj.固体的, 实心的, 坚固的, 结实的, 立体的, 可靠的, 一致的, 纯粹的"
somewhere,[5sQm(h)wZE],"adv.某处, 在某处"
sooner or later,[],adv.迟早
soul,[sEul],"n.灵魂, 心灵, 精神, 精力"
speaker,[5spi:kE],"n.说话者, 演讲人, 演说者, 扬声器, 喇叭"
spit,[spit],"n.唾液//v.吐(唾沫), 吐出, 发射, 发出, 喷吐"
spread,[spred],"n.伸展, 展开, 传播, 蔓延, 酒席, 宴会, 桌布//v.伸展, 展开, 铺, 涂, 敷, 摆, 传播, 散布"
stand for,[],"v.代表, 代替, 象征, 支持, 做...的候选人"
starve,[stB:v],vt.使饿死//vi.饿得要死
state,[steit],"n.情形, 状态, 国家, 政府, 州//adj.国家的, 国有的, 国营的, 州的, 正式的, 典礼用的//vt.声明, 陈述, 规定"
steam,[sti:m],"n.蒸汽, 水汽//vi.蒸发//vt.蒸"
store,[stC:; stCE],"vt.贮藏, 贮备, 存储//n.商店, 店铺, 贮藏, 贮备"
strike,[straik],"n.罢工, 打击, 殴打//vt.打, 撞击, 冲击, 罢工, 打动, 划燃, 到达, 侵袭//vi.打, 打击, 罢工, 抓, 敲, 搏动, 打动, 穿透"
struggle,[5strQgl],"n.竞争, 努力, 奋斗//vi.努力, 奋斗, 挣扎//vt.尽力使得, 使劲移动"
success,[sEk5ses],"n.成功, 成就, 胜利, 发迹, 兴旺"
suck,[sQk],"v.吸, 吮, 吸取"
suffer,[5sQfE],"vt.遭受, 经历, 忍受//vi.受痛苦, 受损害"
suffering,[5sQfEriN],"n.苦楚, 受难//adj.受苦的, 患病的"
symphony,[5simfEni],"n.交响乐, 交响曲"
system,[5sistEm],"n.系统, 体系, 制度, 体制, 秩序, 规律, 方法"
take one's turn,[],依次，轮流
take place,[],v.发生
take up,[],"v.拿起, 开始从事, 继续, 吸收, 责备, 拘留, 占据, 认购"
taste,[teist],"v.品尝, 辨味, (of)有 ...味道, 领略//vt.体验, 感到//n.味道, 味觉"
temper,[5tempE],"n.(钢等)韧度, 回火, 性情, 脾气, 情绪, 心情, 调剂, 趋向//v.(冶金)回火、锻炼, 调和, 调节"
textbook,[5tekstbuk],"n.教科书, 课本//adj.合乎规范的"
the United States,[],美利坚合众国，美国
the last two years,[],前两年
the public,[],公众，民众
the working class,[],工人阶级
theatre,[],"n.剧场, 戏院, 电影院, 阶梯教室, 手术教室, 手术室, 全体观众, 戏剧"
theory,[5WiEri],"n.理论, 学说, ...论, 原理, 意见, 推测"
though,[TEu; TE],"adv.虽然, 可是//conj.虽然, 尽管"
thread,[Wred],"n.线, 细丝, 线索, 思路, 螺纹"
tie,[tai],"n.带子, 线, 鞋带, 不分胜负, 关系, 领带, 领结, 平局//vt.系, 打结, 扎, 约束, 与...成平局//vi.被用带(或绳子等)系住, 结合, 打结, 不分胜负"
to this day,[],adv.至今
topic,[5tCpik],"n.话题, 主题"
tower,[5tauE],"n.塔, 城堡"
trade,[treid],"n.贸易, 商业, 交易, 生意, 职业, 行业, [气]信风, 顾客//vi.交易, 买卖, 经商, 对换, 购物//vt.用...进行交换"
trade union,[],工会
train,[trein],"n.火车, 列车, 行列, 后果, 顺序, 长队, 长袍(裙)拖地的部分, 导火线//vt.训练, 培养, 瞄准, (园艺)整枝//vi.锻炼"
