abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
amateur,[5AmEtE(:); 5AmEtjuE],"n.业余爱好者, 业余艺术家"
amazed,[E`meizd],"adj.吃惊的, 惊奇的"
amazed at,[],吃惊于...
ambiguous,[7Am5bigjuEs],"adj.暧昧的, 不明确的"
ambitious,[Am5biFEs],"adj.有雄心的, 野心勃勃的"
ambush,[5AmbuF],"n.埋伏, 伏兵//v.埋伏"
amenable,[E5mi:nEbl],"adj.应服从的, 有服从义务的, 有责任的"
amend,[E5mend],"v.修正, 改进, 改正"
amenity,[E5mi:niti],"n.宜人, 礼仪"
amiable,[5eimjEbl],"adj.亲切的, 和蔼可亲的"
amicable,[5AmikEbl],"adj.友善的, 和平的"
amnesia,[Am5ni:zjE],n.健忘症
amnesty,[5Amnesti],n.(尤指对反政府政治犯的)特赦
among,[E5mQN],"prep.在...之中, ...之一"
amount,[E5maunt],"n.数量//vi.(to) 总计, 等于"
ample,[5Ampl],"adj.充足的, 丰富的"
amulet,[5Amjulit],n.护身符
anabolism,[E5nAbElizm],n.[生化]合成代谢
anachronism,[E5nAkrEnizm],n.时代错误
analogous,[E5nAlEgEs],"adj.类似的, 相似的, 可比拟的"
analogy,[E5nAlEdVi],"n.类似, 类推"
analysis,[E5nAlisis],"n.分析, 分解"
andesite,[5Andizait],n.安山石
anecdote,[5AnikdEut],"n.轶事, 奇闻"
angle,[5ANgl],"n.[数]角, 角落//vi.钓鱼, 追逐"
angler,[5ANglE],n.钓鱼者
anguish,[5ANgwiF],"n.痛苦, 苦恼//vt.使极苦闷, 使极痛苦//vi.感到痛苦"
animal,[5AnimEl],n.动物
animated,[5Animeitid],"adj.活生生的, 活泼的, 动的, 愉快的"
animating,[],"鼓舞生气的, 启发的"
animosity,[7Ani5mCsiti],"n.仇恨, 憎恶"
annex,[E5neks],"n.附件//vt.并吞, 附加"
annihilate,[E5naiEleit],"vt.消灭, 歼灭"
annotate,[5AnEuteit],"v.注释, 评注"
announce,[E5nauns],"vt.宣布, 通告"
annoy,[E5nCi],"vt.使苦恼, 骚扰"
annually,[5AnjuEli],"adv.一年一次, 每年"
anomalous,[E5nCmElEs],"adj.不规则的, 反常的"
anomaly,[E5nCmEli],"n.不规则, 异常的人或物"
anonymous,[E5nCnimEs],adj.匿名的
ant,[Ant],n.蚂蚁
antagonism,[An5tAgEnizEm],"n.对抗(状态), 对抗性"
antagonist,[An5tAgEnist],"n.敌手, 对手"
antelope,[5AntilEup],n.羚羊
anticipate,[An5tisipeit],"vt.预期, 期望, 过早使用, 先人一着, 占先//v.预订, 预见, 可以预料"
antipathy,[An5tipEWi],"n.憎恶, 反感"
antique,[An5ti:k],"n.古物, 古董//adj.古时的, 过时的"
antiquity,[An5tikwiti],"n.古代, 古老, 古代的遗物"
antiseptic,[7Anti5septik],"adj.防腐的, 杀菌的, 消过毒的//n.防腐剂, 杀菌剂"
anxious,[5ANkFEs],"adj.观念的, 担忧的, 渴望的, 盼望的"
apathetic,[7ApE5Wetik],"adj.缺乏兴趣的, 缺乏感情的, 无动于衷的"
aperture,[5ApEtjuE],"n.孔, 穴, 缝隙, (照相机, 望远镜等的)光圈, 孔径"
apex,[5eipeks],n.顶点
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
apostasy,[E5pCstEsi],"n.变节, 背教, 脱党"
apostatize,[E`pCstEtaiz],"vi.放弃信仰, 变节, 脱党"
appall,[E5pC:l],"vt.使胆寒, 使惊骇"
apparel,[E5pArEl],"n.衣服, 装饰"
appeal,[E5pi:l],"n.请求, 呼吁, 上诉, 吸引力, 要求//vi.求助, 诉请, 要求//vt.控诉"
appear,[E5piE],"vi.出现, 看来, 似乎, 公开露面, 出版, 发表"
applaud,[E5plC:d],"v.拍手喝彩, 称赞, 赞同"
applause,[E5plC:z],"n.鼓掌欢迎, 欢呼"
applicant,[5AplikEnt],"n.申请者, 请求者"
application,[7Apli5keiFEn],"n.请求, 申请, 申请表, 应用, 运用, 施用, 敷用//应用,应用程序,应用软件"
applied,[E5plaid],"adj.应用的, 实用的"
appoint,[E5pCint],"vt.约定, 指定(时间,地点), 任命, 委任"
appraise,[E5preiz],v.评价
appreciate,[E5pri:Fieit],"vt.赏识, 鉴赏, 感激//vi.增值, 涨价"
apprehend,[7Apri5hend],v.领会理解
apprehension,[7Apri5henFEn],"n.理解, 忧惧, 拘捕"
apprehensive,[7Apri5hensiv],adj.有理解力的
apprentice,[E5prentis],n.学徒//v.当学徒
appropriate,[E5prEupriit],adj.适当的
approve,[E5pru:v],"vi.赞成, 满意//vt.批准, 通过//v.批准"
approve of,[],"v.赞成, 满意"
approximate,[E5prCksimeit],"adj.近似的, 大约的//v.近似, 接近, 接近, 约计"
apt,[Apt],"adj.易于...的, 有...倾向的, 灵敏的, 灵巧的, 适当的, 切题的, 敏捷, 倾向是"
aptitude,[5Aptitju:d],"n.恰当, 智能, 聪明, 自然倾向"
aquarium,[E5kwZEriEm],"n.养鱼池, 玻璃缸, 水族馆"
arable,[5ArEbl],"adj.可耕的, 适于耕种的"
arbiter,[5B:bitE],"n.仲裁者, 判优器"
arbitration,[7B:bi5treiFEn],"n.仲裁, 公断"
arbitrator,[5B:bitreitE],"n.仲裁人, 公断者"
archaic,[B:5keiik],"adj.古老的, 古代的, 陈旧的"
ardent,[5B:dEnt],"adj.热心的, 热情洋溢的, 激烈的, 燃烧般的"
ardor,[5B:dE],"n.热诚, 情欲, 激情, 热情, 炽热"
arduous,[5B:djuEs],"adj.费劲的, 辛勤的, 险峻的"
arid,[5Arid],"adj.干旱的, 贫瘠的(土地等), 无趣的, 沉闷的"
aristocrat,[5AristEkrAt],n.贵族
arithmetic,[E5riWmEtik],"n.算术, 算法"
armament,[5B:mEmEnt],"n.军备, 武器"
armor,[5B:mE],n.装甲
army,[5B:mi],"n.陆军, 军队, 大群, 大军"
aroma,[E5rEumE],"n.芳香, 香气, 香味"
arouse,[E5rauz],"vt.唤醒, 唤起, 鼓励, 引起//vi.睡醒"
arraign,[E5rein],"vt.提问, 传讯, 责难"
arrange,[E5reindV],"v.安排, 排列, 协商"
array,[E5rei],"n.排列, 编队, 军队, 衣服, 大批//vt.部署, 穿着, 排列"
arrogance,[`ArEgEns],"n.傲慢态度, 自大"
arrogant,[5ArEgEnt],"adj.傲慢的, 自大的"
art,[B:t],"n.艺术, 艺术品, 技术, 巧妙, 美术"
art deco,[B:t 5dekEu],艺术装饰
article,[5B:tikl],"n.文章, 论文, 物品, 商品, 项目, 条款//v.清楚说出//adj.表达清晰的"
arts,[B:ts],n.文科
ascend,[E5send],"v.攀登, 上升"
ascent,[E5sent],"n.上升, (地位, 声望等的)提高, 攀登, 上坡路"
ascertain,[7AsE5tein],"vt.确定, 探知"
ascetic,[E5setik],"n.禁欲者, 苦行修道者//adj.修道的, 苦行的"
ashamed of,[],耻于...
aspect,[5Aspekt],"n.样子, 外表, 面貌, (问题等的)方面"
asperse,[Es5pE:s],v.诽谤
aspersion,[Es5pE:FEn],"n.洒水, 诽谤, 中伤"
aspiration,[7AspE5reiFEn],"n.热望, 渴望"
aspire,[Es5paiE],"vi.热望, 立志"
assail,[E5seil],"vt.攻击, 质问"
assassin,[E5sAsin],"n.暗杀者, 刺客"
assassinate,[E5sAsineit],"vt.暗杀, 行刺"
assault,[E5sC:lt],"n.攻击, 袭击//v.袭击"
assemble,[E5sembl],"vt.集合, 聚集, 装配//vi.集合"
assembly,[E5sembli],"n.集合, 装配, 集会, 集结, 汇编"
assert,[E5sE:t],"v.断言, 声称"
assess,[E5ses],"vt.估定, 评定"
asset,[5Aset],"n.资产, 有用的东西"
assiduous,[E5sidjuEs],"adj.勤勉的, 刻苦的"
assign,[E5sain],"vt.分配, 指派//v.赋值//[计] 将驱动器符重定向至第二个驱动器符"
assimilate,[E5simileit],v.吸收
assist,[E5sist],"v.援助, 帮助"
associate,[E5sEuFieit],"vt.使发生联系, 使联合//vi.交往, 结交//n.合作人, 同事//adj.副的"
association,[E7sEusi5eiFEn],"n.协会, 联合, 结交, 联想"
assuage,[E5sweidV],"vt.缓和, 减轻, 镇定"
assumption,[E5sQmpFEn],"n.假定, 设想, 担任, 承当, 假装, 作态"
assure,[E5FuE],"vt.断然地说, 确告, 保证, 担保"
asteroid,[5AstErCid],"n.[天文]小游星, 小行星, 海盘车//adj.星状的"
astonish,[Es5tCniF],vt.使惊讶
astonished,[],惊讶的
astound,[Es5taund],"vt.使惊骇, 使大吃一惊"
astronomy,[E5strCnEmi],n.天文学
astute,[E5stju:t; (?@) E5stu:t],"adj.机敏的, 狡猾的"
atavism,[5AtEvizEm],"n.[生]隔代遗传, 返祖现象"
atheism,[5eiWiizEm],n.无神论
athletics,[AW5letiks],n.运动
atmosphere,[5AtmEsfiE],"n.大气, 空气, 气氛"
atom,[5AtEm],n.原子
attachment,[E5tAtFmEnt],"n.附件, 附加装置, 配属"
attainment,[E5teinmEnt],n.达到
attend,[E5tend],"vt.出席, 参加, 照顾, 护理, 注意//vi.专心, 留意"
attendant,[E5tendEnt],n.服务员
attorney,[E5tE:ni],"n.<美>律师, (业务或法律事务上的)代理人"
attribute,[E5tribju(:)t],"n.属性, 品质, 特征, 加于, 归结于"
attrition,[E5triFEn],"n.磨擦, 磨损"
audacious,[C:5deiFEs],"adj.大胆的, 卤莽的, 大胆创新的"
audience,[5C:djEns],"n.听众, 观众, 接见, 拜见"
audit,[5C:dit],"n.审计, 稽核, 查帐//vt.稽核, 旁听//vi.查账"
audition,[C:5diFEn],"n.听, 听力, 试听"
auditor,[5C:ditE],"n.计员, 核数师"
auditorium,[7C:di5tC:riEm],"n.听众席, 观众席, <美>会堂, 礼堂"
augment,[C: g5ment],"v.增加, 增大//n.增加"
aura,[5C:rE],"n.气氛, 气味, (圣象头部的)光环//[医]先兆, 预感"
auspice,[5C:spis],"n.预兆, 前兆, 吉兆, (以飞鸟行动为根据的)占卜, 赞助, 支持"
auspicious,[C:s5piFEs],"n.吉兆的, 幸运的"
austerity,[Cs5teriti],"n.严峻, 严厉, 朴素, 节俭, 苦行"
authentic,[C:5Wentik],adj.可信的
authoritative,[C:5WCritEtiv],"adj.权威的, 有权威的, 命令的"
authority,[C:5WCriti],"n.权威, 威信, 权威人士, 权力, 职权, 典据, 著作权威"
authorize,[5C:WEraiz],v.批准
autocrat,[5C:tEukrAt],n.独裁者
autonomy,[C:5tCnEmi],n.自治
autopsy,[5C:tEpsi],"n.(为查明死因而做的)尸体解剖, 验尸"
available,[E5veilEbl],"adj.可用到的, 可利用的, 有用的, 有空的, 接受探访的"
avalanche,[5AvE7lB:nF],n.雪崩//v.雪崩
avarice,[5AvEris],"n.贪财, 贪婪"
avaricious,[7AvE5riFEs],"adj.贪财的, 贪婪的"
average,[5AvEridV],"n.平均, 平均水平, 平均数, 海损//adj.一般的, 通常的, 平均的//vt.平均为, 均分, 使平衡, 达到平均水平//vi.买进, 卖出"
averse from,[],厌恶于...
aversion,[E5vE:FEn],"n.厌恶, 讨厌的事和人"
avert,[E5vE:t],v.转移
aviator,[5eivieitE],"n.飞行员, 飞行家"
avid,[5Avid],adj.渴望的
avoid,[E5vCid],"vt.避免, 消除"
avouch,[E5vautF],v.确保
avow,[E5vau],v.承认
awe,[C:],n.敬畏//vt.敬畏
awkward,[5C:kwEd],"adj.难使用的, 笨拙的"
axis,[5Aksis],n.轴
azalea,[E5zeiljE],n.[植]杜鹃花
azure,[5AVE],"n.天蓝色, 苍天, 碧空//adj.蔚蓝的"
babble,[5bAbl],"v.呀呀学语, 喋喋不休, 作潺潺声, 泄露(秘密)//n.儿语, 胡言乱语, 潺潺声"
baby-sit,[5beibisit],"vi.担任临时保姆, 照顾婴儿"
backbite,[5bAkbait],"v.n.背后诽谤, 背后中伤"
backward,[5bAkwEd],"adv.adj.向后地(的), 相反地(的), 追溯, 退步, 由好变坏"
bad,[bAd],"adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的"
bad-mouth,[],vi.苛刻批评
badger,[5bAdVE],"n.獾, 獾皮毛//vt.迫使(某人吐露实话), 诱使(某人暴露自己)乱语, 潺"
baggage,[5bAgidV],"n.行李, [军] 辎重"
bait,[beit],"n.饵, 诱惑物//vt.以饵引诱(动物), 把饵装上, 欺负, 折磨//vi.中途休息"
balance,[5bAlEns],"n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额//v.平衡, 称, 权衡, 对比, 结算//n.资产平稳表"
bald,[bC:ld],"adj.光秃的, 单调的, 枯燥的"
balk,[bC:lk],"n.障碍, 梁木//v.妨碍, (马)不肯前进"
ballot,[5bAlEt],"n.选举票, 投票, 票数//vi.投票"
balmy,[5bB:mi],"adj.芳香的, 温和的, 止痛的, (空气)温和的"
ban,[bB:n],"n.禁令//vt.禁止, 取缔(书刊等)? 有空的, 接受探访的"
bandit,[5bAndit],n.强盗
banish,[5bAniF],"vt.流放, 驱逐, 消除"
bankruptcy,[5bANkrEp(t)si],n.破产
banquet,[5bANkwit],n.宴会
bar,[bB:(r); 驱逐; 消除],"n.条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物//vt.禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业"
barbarian,[bB:5bZEriEn],"n.粗鲁无礼的人, 野蛮人//adj.野蛮的, 粗鲁的"
bare,[bZE],"adj.赤裸的, 无遮蔽的, 空的//vt.使赤裸, 露出"
barely,[5bZEli],"adv.仅仅, 刚刚, 几乎不能"
barometer,[bE5rCmitE],n.气压计
baroque,[bE5rEuk],"n.巴洛克时期艺术和建筑风格的, 巴洛克式//adj.巴洛克式的, 结构复杂的, 形式怪样的"
barren,[5bArEn],"adj.不生育的, 不孕的, 贫瘠的, 没有结果的, 无益的, 单调的, 无聊的, 空洞的//n.荒地"
barricade,[7bAri5keid],v.设路障//n.路障
barrier,[5bAriE],"n.(阻碍通道的)障碍物, 栅栏, 屏障"
barter,[5bB:tE],"n.物品交换, 实物交易//v.物品交换, 交换"
bashful,[5bAFful],adj.害羞的
basin,[5beisn],"n.盆, 盆地, 水池"
bask,[bB:sk],"vi.晒太阳(享受温暖), 感到温暖, 愉快或舒适"
bassoon,[bE5su:n; bE5zu:n],"n.低音管, 巴颂管"
baste,[beist],"vt.粗缝, 润以油脂, (在烤肉上)涂油, 狠揍, 大骂"
batter,[bAtE],"n.击球手//v.打坏, 猛击"
be capable of,[],v.能够
be similar to,[],与...相似
be used to,[],v.过去习惯于
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beat,[bi:t],"n.敲打, 拍子, 巡逻区域//v.打, 打败"
becoming,[bi5kQmiN],"adj.合适的, 适当的"
bedeck,[bi5dek],"vt.装饰, 修饰, 使美丽"
beer,[biE],n.啤酒
beetle,[5bi:tl],"n.甲虫//vi.悬垂, 突出"
before,[bi5fC:],"adv.在前, 以前//prep.在...之前//conj.在...之前, 与其...宁可"
beforehand,[bi5fC:hAnd],adv.预先
befuddle,[bi5fQdl],"vt.使酒醉昏迷, 使迷惑, 使迷糊"
beg,[beg],"v.请求, 乞求"
beget,[bi5get],"vt.(书面语) 招致, 产生, 引起"
begrudge,[bi5grQdV],"vt.嫉妒, 羡慕, 舍不得给"
beguile,[bi5gail],"vt.诱骗, 诱惑"
behave,[bi5heiv],"vi.举动, 举止, 运转//v.行为表现"
behavior,[bi5heivjE],"n.举止, 行为"
belie,[bi5lai],v.掩饰
believer,[bi5li:vE],n.信徒
belittle,[bi5litl],"vt.轻视, 使渺小, 使...显得渺小"
belligerent,[bi5lidVErEnt],"adj.好战的, 交战国的, 交战的"
benefactor,[5benifAktE],"n.恩人, 捐助者, 赠送者, 赞助人"
beneficial,[beni5fiFEl],"adj.有益的, 受益的, [法律]有使用权的//adj.有益的,得利的,[律]有使用权的"
beneficiary,[beni5fiFEri],"n.受惠者, 受益人"
benefit,[5benifit],"n.利益, 好处//vt.有益于, 有助于//vi.受益"
